hour,day,month,pm25,pm10,co,no2,so2,o3,nh3,aqi_change_rate
20,24,6,39.03,150.99,83.76,0.1,0.6,55.57,0.0,3.3999999999999915
14,24,6,32.89,142.09,81.43,0.09,0.52,50.93,0.0,0.6899999999999977
8,6,6,12.78,65.15,79.8,0.03,0.18,54.9,0.0,0.1499999999999985
5,25,6,43.3,158.94,96.43,0.07,0.64,74.62,0.0,-1.4200000000000017
17,14,6,21.74,99.06,77.01,0.11,0.49,45.88,0.0,-1.3100000000000025
9,14,6,22.15,99.15,76.92,0.06,0.47,46.33,0.0,0.1500000000000056
12,4,7,28.59,90.14,74.6,0.09,0.25,45.54,0.12,1.6600000000000108
1,21,6,28.8,130.79,77.36,0.09,0.52,52.19,0.0,-0.9499999999999886
11,24,6,33.0,146.95,79.45,0.05,0.5,48.97,0.0,-0.7599999999999909
14,6,6,13.23,68.73,80.27,0.05,0.17,50.35,0.0,0.490000000000002
5,22,6,29.62,141.4,78.39,0.09,0.47,54.76,0.0,-0.4500000000000028
23,10,7,24.22,111.49,77.35,0.09,0.47,44.89,0.0,0.2099999999999937
16,7,7,32.7,143.62,77.61,0.1,0.45,52.29,0.0,2.3999999999999915
0,19,6,21.5,96.3,77.64,0.08,0.45,49.67,0.0,-0.6700000000000017
10,30,6,25.04,123.57,67.75,0.06,0.57,37.45,0.0,0.1899999999999977
11,28,6,9.65,13.88,82.58,0.07,0.15,65.36,0.02,-0.8699999999999974
2,27,6,50.24,247.75,83.49,0.13,0.4,52.79,0.02,-6.480000000000018
8,3,7,17.22,73.66,72.48,0.08,0.31,42.43,0.0,0.0400000000000062
13,7,6,12.61,63.6,78.98,0.04,0.2,47.47,0.0,-1.3699999999999974
14,30,7,39.31,166.87,71.28,0.11,0.71,48.61,0.0,5.879999999999996
22,24,7,28.41,111.87,77.21,0.09,0.44,44.2,0.0,2.989999999999995
14,26,7,29.73,124.5,73.63,0.08,0.52,49.92,0.0,3.450000000000003
14,15,6,26.6,106.11,78.46,0.11,0.47,46.94,0.0,0.6700000000000017
11,31,7,30.38,135.55,72.24,0.06,0.56,45.42,0.0,0.1899999999999977
1,25,7,25.82,98.78,74.58,0.09,0.44,44.42,0.0,-1.8300000000000125
9,30,7,32.35,157.15,68.84,0.05,0.68,49.81,0.0,0.4200000000000017
7,20,7,20.35,85.98,78.0,0.08,0.38,41.19,0.0,3.6799999999999926
17,25,6,37.53,178.9,88.63,0.1,0.49,59.06,0.0,0.2000000000000028
13,31,7,30.46,140.51,72.7,0.09,0.55,45.61,0.0,-0.019999999999996
2,9,6,4.69,20.15,75.72,0.05,0.2,45.13,0.0,-0.3399999999999998
17,22,7,14.07,51.02,75.24,0.07,0.29,43.34,0.0,0.9200000000000016
16,26,6,39.62,170.96,84.7,0.12,0.37,55.55,0.0,-2.8100000000000023
3,19,6,19.75,89.47,77.35,0.08,0.45,51.53,0.0,-1.6199999999999903
23,17,6,35.62,147.16,82.09,0.08,0.49,51.59,0.0,2.4099999999999966
22,27,6,15.89,24.91,86.39,0.17,0.32,52.61,0.3,-3.1099999999999994
20,30,7,38.35,163.21,72.25,0.12,0.7,44.91,0.0,-5.189999999999998
0,5,6,22.4,95.52,78.28,0.07,0.39,57.03,0.0,0.5699999999999932
10,25,6,38.72,159.23,93.64,0.09,0.58,68.56,0.0,-1.769999999999996
11,7,6,14.04,72.65,78.21,0.03,0.19,46.52,0.0,-1.8500000000000012
8,18,6,28.0,123.24,78.12,0.05,0.42,50.09,0.0,-1.8500000000000083
11,25,7,26.15,103.61,76.97,0.05,0.39,48.87,0.0,-0.269999999999996
18,20,6,26.9,112.44,84.67,0.08,0.49,57.07,0.0,1.5700000000000074
10,26,6,44.93,182.61,90.65,0.06,0.3,61.94,0.0,-2.5600000000000023
1,28,6,14.41,19.65,85.67,0.1,0.19,54.81,0.21,-0.8200000000000003
